player_id,team_id,jersey_no,player_name,posi_to_play,dir_of_bir,age,playing_club,match_no,team_id,player_id,in_out,time_in_out,play_schedule,play_half
160068,1203,14,Dries Mertens,FD,5/6/1987,29,Napoli,6,1212,160266,I,46,NT,2
160052,1203,15,Jason Denayer,DF,6/28/1995,20,Galatasaray,6,1212,160265,O,46,NT,2
160055,1203,16,Thomas Meunier,DF,9/12/1991,24,Club Brugge,6,1212,160276,I,66,NT,2
160069,1203,17,Divock Origi,FD,4/18/1995,21,Liverpool,6,1212,160269,O,66,NT,2
160053,1203,18,Christian Kabasele,DF,2/24/1991,25,Genk,6,1212,160272,I,76,NT,2
160060,1203,19,Mousa Dembele,MF,7/16/1987,28,Tottenham,6,1212,160257,O,76,NT,2
160066,1203,20,Christian Benteke,FD,12/3/1990,25,Liverpool,6,1213,160289,I,78,NT,2
160054,1203,21,Jordan Lukaku,DF,7/25/1994,21,Oostende,6,1213,160293,O,78,NT,2
160065,1203,22,Michy Batshuayi,FD,10/2/1993,22,Marseille,6,1213,160288,I,80,NT,2
160051,1203,23,Laurent Ciman,DF,8/5/1985,30,Montreal,6,1213,160287,O,80,NT,2
160072,1204,1,Ivan Vargic,GK,3/15/1987,29,Rijeka,6,1213,160294,I,88,NT,2
160079,1204,2,Sime Vrsaljko,DF,1/10/1992,24,Sassuolo,6,1213,160290,O,88,NT,2
160077,1204,3,Ivan Strinic,DF,7/17/1987,28,Napoli,7,1208,160179,I,78,NT,2
160085,1204,4,Ivan PeriSic,MF,2/2/1989,27,Internazionale,7,1208,160173,O,78,NT,2
160073,1204,5,Vedran Corluka,DF,2/5/1986,30,Lokomotiv Moskva,7,1208,160180,I,90,NT,2
160074,1204,6,Tin Jedvaj,DF,11/28/1995,20,Leverkusen,7,1208,160174,O,90,NT,2
160086,1204,7,Ivan Rakitic,MF,3/10/1988,28,Barcelona,7,1223,160528,I,66,NT,2
160083,1204,8,Mateo Kovacic,MF,5/6/1994,22,Real Madrid,7,1223,160529,O,66,NT,2
160090,1204,9,Andrej Kramaric,FD,6/19/1991,24,Hoffenheim,7,1223,160526,I,73,NT,2
160084,1204,10,Luka Modric,MF,9/9/1985,30,Real Madrid,7,1223,160519,O,73,NT,2
160076,1204,11,Darijo Srna,DF,5/1/1982,34,Shakhtar Donetsk,8,1205,160113,I,75,NT,2
160070,1204,12,Lovre Kalinic,GK,4/3/1990,26,Hajduk Split,8,1205,160114,O,75,NT,2
160075,1204,13,Gordon Schildenfeld,DF,3/18/1985,31,Dinamo Zagreb,8,1205,160112,I,86,NT,2
160081,1204,14,Marcelo Brozovic,MF,11/16/1992,23,Internazionale,8,1205,160096,O,86,NT,2
160087,1204,15,Marko Rog,MF,7/19/1995,20,Dinamo Zagreb,8,1205,160107,I,88,NT,2
160089,1204,16,Nikola Kalinic,FD,1/5/1988,28,Fiorentina,8,1205,160110,O,88,NT,2
160091,1204,17,Mario Mandzukic,FD,5/21/1986,30,Juventus,8,1219,160433,I,62,NT,2
160082,1204,18,Ante Coric,MF,4/14/1997,19,Dinamo Zagreb,8,1219,160435,O,62,NT,2
160080,1204,19,Milan Badelj,MF,2/25/1989,27,Fiorentina,8,1219,160432,I,70,NT,2
160092,1204,20,Marko Pjaca,FD,5/6/1995,21,Dinamo Zagreb,8,1219,160428,O,70,NT,2
160078,1204,21,Domagoj Vida,DF,4/29/1989,27,Dynamo Kyiv,8,1219,160437,I,82,NT,2
160088,1204,22,Duje Cop,FD,2/1/1990,26,Malaga,8,1219,160436,O,82,NT,2
160071,1204,23,Danijel SubaSic,GK,10/27/1984,31,Monaco,9,1215,160337,I,64,NT,2
160093,1205,1,Petr Cech,GK,5/20/1982,34,Arsenal,9,1215,160345,O,64,NT,2
160098,1205,2,Pavel Kaderabek,DF,4/25/1992,24,Hoffenheim,9,1215,160342,I,78,NT,2
160099,1205,3,Michal Kadlec,DF,12/13/1984,31,Fenerbahce,9,1215,160335,O,78,NT,2
160096,1205,4,Theodor Gebre Selassie,DF,12/24/1986,29,Bremen,9,1215,160338,I,85,NT,2
160097,1205,5,Roman Hubnik,DF,6/6/1984,32,Plzen,9,1215,160336,O,85,NT,2
160101,1205,6,TomasSivok,DF,9/15/1983,32,Bursaspor,9,,160336,O,,NT,2
160114,1205,7,TomasNecid,FD,8/13/1989,26,Bursaspor,9,1220,160444,I,45,NT,1
160100,1205,8,David Limbersky,DF,10/6/1983,32,Plzen,9,1220,160446,O,45,NT,1
160104,1205,9,Borek Dockal,MF,9/30/1988,27,Sparta Praha,9,1220,160458,I,59,NT,2
160110,1205,10,TomasRosicky,MF,10/4/1980,35,Arsenal,9,1220,160457,O,59,NT,2
160109,1205,11,Daniel Pudil,MF,9/27/1985,30,Sheff. Wednesday,9,1220,160449,I,86,NT,2
160115,1205,12,Milan Skoda,FD,1/16/1986,30,Slavia Praha,9,1220,160455,O,86,NT,2
160108,1205,13,Jaroslav PlaSil,MF,1/5/1982,34,Bordeaux,10,1203,160068,I,62,NT,2
160105,1205,14,Daniel Kolar,MF,10/27/1985,30,Plzen,10,1203,160063,O,62,NT,2
160107,1205,15,David Pavelka,MF,5/18/1991,25,Kasimpasa,10,1203,160069,I,73,NT,2
160095,1205,16,TomasVaclik,GK,3/29/1989,27,Basel,10,1203,160067,O,73,NT,2
